libsigrok 0.6.0-git-f06f788
Acquisition with 4/16 channels at 20 kHz
RST:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
MOSI:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
RST:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
SCLK:00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
MISO:11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
